,,,,,,,,,,,,,,,,,,,,In Progress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Project Name,MEN'S HAIR,,,,,,,,,,,,,,,,,,Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Project Start Date,12/15/2025,,,,,,,,,,,,,,,,,,At Risk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,On-Shelf Date,8/31/2026,,,,,,,,,,,,,,,,,,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shelf-Life Test Complete Date,8/10/2026,,,,,,,,,,,,,,,,,,Effects Launch,,,,,,Effects Launch,2025,2025,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026
,,,,,,,,,,,,,,,,,,,,,,,,,,,Dec,Dec,Dec,Dec,Dec,Jan,Jan,Jan,Jan,Feb,Feb,Feb,Feb,Mar,Mar,Mar,Mar,Mar,Apr,Apr,Apr,Apr,May,May,May,May,Jun,Jun,Jun,Jun,Jun,Jul,Jul,Jul,Jul,Aug,Aug,Aug,Aug,Aug,Sep,Sep,Sep,Sep,Oct,Oct,Oct,Oct,Nov,Nov,Nov,Nov,Nov
,,,,,,,,,,,,,,,,,,,,,,,,,Week Starting,,1-Dec,8-Dec,15-Dec,22-Dec,29-Dec,5-Jan,12-Jan,19-Jan,26-Jan,2-Feb,9-Feb,16-Feb,23-Feb,2-Mar,9-Mar,16-Mar,23-Mar,30-Mar,6-Apr,13-Apr,20-Apr,27-Apr,4-May,11-May,18-May,25-May,1-Jun,8-Jun,15-Jun,22-Jun,29-Jun,6-Jul,13-Jul,20-Jul,27-Jul,3-Aug,10-Aug,17-Aug,24-Aug,31-Aug,7-Sep,14-Sep,21-Sep,28-Sep,5-Oct,12-Oct,19-Oct,26-Oct,2-Nov,9-Nov,16-Nov,23-Nov,30-Nov
,Gate,Task,Category,Team Responsible,John,Matt,Shefali,Dana,Britt,Cheryl,Marketing,Brand Manager,"Digital 
Marketing",Label Team,Mckenzie,"Florian/
Erin P.",Quality,Task #,"Task 
Dependency",Status,Ready to be Initiated,Dependency Status,Work Days,Start Date,End Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gate 0,Product Brief,Market Assessment,Product Development,x,,,x,,,,,,,,,,1,,Completed,,,5,12/15/2025,12/22/2025,,,,,u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gate 0,Gate 1 Approval ,Gate Approval,Product Development,x,,,x,,,,,,,,,,2,1,Completed,Completed,Completed,1,12/22/2025,12/23/2025,,,,,u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
